"","A.q103_district","distcount","herbi_1st_use","firstusecount","percent","cumulative_percent"
"226","Katihar",20,2016,3,15,65
"227","Khagaria",43,2016,5,11.6279069767442,55.8139534883721
"228","Lakhisarai",46,2016,3,6.52173913043478,65.2173913043478
"229","Madhepura",34,2016,2,5.88235294117647,38.2352941176471
"230","Munger",49,2016,9,18.3673469387755,67.3469387755102
"231","Muzaffarpur",51,2016,6,11.7647058823529,58.8235294117647
"232","Nalanda",42,2016,5,11.9047619047619,66.6666666666667
"233","Nawada",27,2016,5,18.5185185185185,62.962962962963
"234","Patna",12,2016,1,8.33333333333333,66.6666666666667
"235","Rohtas",46,2016,2,4.34782608695652,67.3913043478261
"236","Saharsa",33,2016,1,3.03030303030303,33.3333333333333
"237","Samastipur",20,2016,1,5,40
"238","Saran",21,2016,5,23.8095238095238,52.3809523809524
"239","Sheohar",29,2016,2,6.89655172413793,48.2758620689655
"240","Sitamarhi",29,2016,3,10.3448275862069,65.5172413793103
"241","Siwan",23,2016,2,8.69565217391304,52.1739130434783
"242","Supaul",19,2016,2,10.5263157894737,52.6315789473684
"243","Vaishali",16,2016,2,12.5,75
"244","Arah",32,2017,3,9.375,68.75
"245","Araria",9,2017,1,11.1111111111111,66.6666666666667
"246","Arwal",23,2017,4,17.3913043478261,78.2608695652174
"247","Aurangabad",27,2017,4,14.8148148148148,88.8888888888889
"248","Banka",43,2017,3,6.97674418604651,60.4651162790698
"249","Begusarai",53,2017,5,9.43396226415094,66.0377358490566
"250","Bhagalpur",42,2017,6,14.2857142857143,66.6666666666667
"251","Buxar",27,2017,2,7.40740740740741,81.4814814814815
"252","EastChamparan",41,2017,3,7.31707317073171,68.2926829268293
"253","Gopalganj",21,2017,1,4.76190476190476,61.9047619047619
"254","Jehanabad",30,2017,4,13.3333333333333,63.3333333333333
"255","Kaimur",29,2017,1,3.44827586206897,65.5172413793103
"256","Katihar",20,2017,1,5,70
"257","Khagaria",43,2017,5,11.6279069767442,67.4418604651163
"258","Lakhisarai",46,2017,4,8.69565217391304,73.9130434782609
"259","Madhepura",34,2017,3,8.82352941176471,47.0588235294118
"260","Madhubani",18,2017,1,5.55555555555556,33.3333333333333
"261","Munger",49,2017,5,10.2040816326531,77.5510204081633
"262","Muzaffarpur",51,2017,4,7.84313725490196,66.6666666666667
"263","Nalanda",42,2017,2,4.76190476190476,71.4285714285714
"264","Nawada",27,2017,2,7.40740740740741,70.3703703703704
"265","Patna",12,2017,1,8.33333333333333,75
"266","Rohtas",46,2017,1,2.17391304347826,69.5652173913043
"267","Saharsa",33,2017,6,18.1818181818182,51.5151515151515
"268","Samastipur",20,2017,3,15,55
"269","Saran",21,2017,3,14.2857142857143,66.6666666666667
"270","Sheohar",29,2017,1,3.44827586206897,51.7241379310345
"271","Siwan",23,2017,2,8.69565217391304,60.8695652173913
"272","Supaul",19,2017,3,15.7894736842105,68.4210526315789
"273","WestChamparan",11,2017,3,27.2727272727273,81.8181818181818
"274","Arah",32,2018,1,3.125,71.875
"275","Araria",9,2018,1,11.1111111111111,77.7777777777778
"276","Arwal",23,2018,1,4.34782608695652,82.6086956521739
"277","Aurangabad",27,2018,1,3.7037037037037,92.5925925925926
"278","Banka",43,2018,1,2.32558139534884,62.7906976744186
"279","Begusarai",53,2018,6,11.3207547169811,77.3584905660377
"280","Bhagalpur",42,2018,1,2.38095238095238,69.047619047619
"281","Buxar",27,2018,1,3.7037037037037,85.1851851851852
"282","Darbhanga",5,2018,1,20,100
"283","EastChamparan",41,2018,1,2.4390243902439,70.7317073170732
"284","Gaya",29,2018,2,6.89655172413793,68.9655172413793
"285","Jehanabad",30,2018,4,13.3333333333333,76.6666666666667
"286","Kaimur",29,2018,2,6.89655172413793,72.4137931034483
"287","Katihar",20,2018,2,10,80
"288","Khagaria",43,2018,2,4.65116279069767,72.093023255814
"289","Lakhisarai",46,2018,2,4.34782608695652,78.2608695652174
"290","Madhepura",34,2018,7,20.5882352941176,67.6470588235294
"291","Madhubani",18,2018,2,11.1111111111111,44.4444444444444
"292","Muzaffarpur",51,2018,4,7.84313725490196,74.5098039215686
"293","Nalanda",42,2018,2,4.76190476190476,76.1904761904762
"294","Nawada",27,2018,4,14.8148148148148,85.1851851851852
"295","Rohtas",46,2018,5,10.8695652173913,80.4347826086957
"296","Saharsa",33,2018,3,9.09090909090909,60.6060606060606
"297","Samastipur",20,2018,1,5,60
"298","Sheohar",29,2018,1,3.44827586206897,55.1724137931034
"299","Sitamarhi",29,2018,2,6.89655172413793,72.4137931034483
"300","Supaul",19,2018,2,10.5263157894737,78.9473684210526
"301","Vaishali",16,2018,1,6.25,81.25
"302","WestChamparan",11,2018,2,18.1818181818182,100
"303","Arwal",23,2019,1,4.34782608695652,86.9565217391304
"304","Banka",43,2019,3,6.97674418604651,69.7674418604651
"305","Begusarai",53,2019,1,1.88679245283019,79.2452830188679
"306","Bhagalpur",42,2019,1,2.38095238095238,71.4285714285714
"307","Gopalganj",21,2019,1,4.76190476190476,66.6666666666667
"308","Jehanabad",30,2019,1,3.33333333333333,80
"309","Khagaria",43,2019,3,6.97674418604651,79.0697674418605
"310","Lakhisarai",46,2019,2,4.34782608695652,82.6086956521739
"311","Madhepura",34,2019,3,8.82352941176471,76.4705882352941
"312","Muzaffarpur",51,2019,1,1.96078431372549,76.4705882352941
"313","Nalanda",42,2019,2,4.76190476190476,80.9523809523809
"314","Saharsa",33,2019,1,3.03030303030303,63.6363636363636
"315","Saran",21,2019,1,4.76190476190476,71.4285714285714
"316","Vaishali",16,2019,1,6.25,87.5
"317","Bhagalpur",42,2020,1,2.38095238095238,73.8095238095238
"318","Jehanabad",30,2020,1,3.33333333333333,83.3333333333333
"319","Siwan",23,2020,3,13.0434782608696,73.9130434782609
